Date,QQQ,GC=F
2000-08-31,86.04522705078125,27.829998779296876
2000-09-30,75.14404296875,27.360000610351562
2000-10-31,69.17745971679688,26.48999938964844
2000-11-30,53.32844543457031,27.01000061035156
2000-12-31,49.425724029541016,27.2
2001-01-31,54.4423942565918,26.560000610351562
2001-02-28,40.175594329833984,26.679998779296874
2001-03-31,33.148040771484375,25.789999389648436
2001-04-30,39.07491683959961,26.4
2001-05-31,37.87260437011719,26.529998779296875
2001-06-30,38.693904876708984,27.060000610351562
2001-07-31,35.357933044433594,26.620001220703124
2001-08-31,31.014385223388672,27.439999389648438
2001-09-30,24.53717613220215,29.23999938964844
2001-10-31,28.70289421081543,27.95
2001-11-30,33.571380615234375,27.389999389648438
2001-12-31,32.94485092163086,27.870001220703124
2002-01-31,32.60615539550781,28.210000610351564
2002-02-28,28.601293563842773,29.670001220703124
2002-03-31,30.531755447387695,30.26000061035156
2002-04-30,26.865583419799805,30.889999389648438
2002-05-31,25.434677124023438,32.65
2002-06-30,22.09870147705078,31.35
2002-07-31,20.193626403808594,30.320001220703126
2002-08-31,19.88882827758789,31.23999938964844
2002-09-30,17.543479919433594,32.38999938964844
2002-10-31,20.786317825317383,31.8
2002-11-30,23.470340728759766,31.679998779296874
2002-12-31,20.6339168548584,34.76000061035156
2003-01-31,20.69318962097168,36.82999877929687
2003-02-28,21.302810668945312,35.02000122070312
2003-03-31,21.378997802734375,33.58999938964844
2003-04-30,23.241737365722656,33.91000061035156
2003-05-31,25.222990036010742,36.45
2003-06-30,25.358474731445312,34.6
2003-07-31,26.924854278564453,35.4
2003-08-31,28.271099090576172,37.570001220703126
2003-09-30,27.449792861938477,38.539999389648436
2003-10-31,29.78668212890625,38.45
2003-11-30,29.956029891967773,39.679998779296874
2003-12-31,30.882516860961914,41.570001220703126
2004-01-31,31.399192810058594,40.220001220703125
2004-02-29,30.975683212280273,39.63999938964844
2004-03-31,30.357351303100586,42.72999877929688
2004-04-30,29.45103645324707,38.7
2004-05-31,30.95872688293457,39.4
2004-06-30,31.966686248779297,39.26000061035156
2004-07-31,29.552677154541016,39.1
2004-08-31,28.815753936767578,41.039999389648436
2004-09-30,29.76444435119629,41.870001220703124
2004-10-31,31.255199432373047,42.85
2004-11-30,33.13558578491211,45.129998779296876
2004-12-31,34.137054443359375,43.75
2005-01-31,31.98213005065918,42.179998779296874
2005-02-28,31.82819366455078,43.65
2005-03-31,31.27235221862793,42.870001220703124
2005-04-30,29.912681579589844,43.5
2005-05-31,32.56361389160156,41.629998779296876
2005-06-30,31.48100471496582,43.58999938964844
2005-07-31,33.877601623535156,42.98999938964844
2005-08-31,33.36405563354492,43.379998779296876
2005-09-30,33.7748908996582,46.9
2005-10-31,33.26987838745117,46.51000061035156
2005-11-30,35.298439025878906,49.460000610351564
2005-12-31,34.67145538330078,51.70999755859375
2006-01-31,36.035648345947266,57.07999877929687
2006-02-28,35.26346206665039,56.15999755859375
2006-03-31,36.000850677490234,58.179998779296874
2006-04-30,35.932159423828125,65.17999877929688
2006-05-31,33.33061981201172,64.25
2006-06-30,33.310089111328125,61.35
2006-07-31,31.87527084350586,63.42000122070313
2006-08-31,33.39600372314453,62.59000244140625
2006-09-30,34.945438385009766,59.85999755859375
2006-10-31,36.604591369628906,60.40999755859375
2006-11-30,37.859703063964844,64.69000244140625
2006-12-31,37.14841079711914,63.52000122070312
2007-01-31,37.93164825439453,65.2
2007-02-28,37.29472351074219,66.94000244140625
2007-03-31,37.490482330322266,66.3
2007-04-30,39.583343505859375,68.05
2007-05-31,40.83216857910156,66.1
2007-06-30,41.02784729003906,64.80999755859375
2007-07-31,40.96751022338867,66.69000244140625
2007-08-31,42.122474670410156,67.3
2007-09-30,44.33481979370117,74.27999877929688
2007-10-31,47.456642150878906,79.2
2007-11-30,44.24858856201172,78.22000122070312
2007-12-31,44.2170295715332,83.49000244140625
2008-01-31,38.959651947021484,92.27000122070312
2008-02-29,37.07773208618164,97.20999755859376
2008-03-31,37.771934509277344,91.62000122070313
2008-04-30,40.78712844848633,86.27999877929688
2008-05-31,43.206199645996094,88.72999877929688
2008-06-30,39.05189895629883,92.62000122070313
2008-07-31,39.30260467529297,91.39000244140625
2008-08-31,39.87321853637695,82.92999877929688
2008-09-30,33.662452697753906,87.42000122070313
2008-10-31,28.454345703125,71.67999877929688
2008-11-30,25.19277000427246,81.62000122070313
2008-12-31,25.766521453857422,88.35999755859375
2009-01-31,25.17737579345703,92.72999877929688
2009-02-28,23.851791381835938,94.15
2009-03-31,26.312463760375977,92.25999755859375
2009-04-30,29.749053955078125,89.07000122070312
2009-05-31,30.70366668701172,97.87999877929687
2009-06-30,31.61031150817871,92.70999755859376
2009-07-31,34.2778205871582,95.37000122070313
2009-08-31,34.78177261352539,95.17000122070313
2009-09-30,36.74623489379883,100.8
2009-10-31,35.6242790222168,103.9699951171875
2009-11-30,37.885589599609375,118.10999755859375
2009-12-31,39.8567008972168,109.5199951171875
2010-01-31,37.27800750732422,108.3
2010-02-28,38.99422836303711,111.8300048828125
2010-03-31,42.00104522705078,111.3300048828125
2010-04-30,42.94291687011719,118.00999755859375
2010-05-31,39.7684326171875,121.2199951171875
2010-06-30,37.39198684692383,124.55
2010-07-31,40.106014251708984,118.1699951171875
2010-08-31,38.048606872558594,124.8300048828125
2010-09-30,43.060699462890625,130.7800048828125
2010-10-31,45.78981018066406,135.70999755859376
2010-11-30,45.710838317871094,138.5
2010-12-31,47.88534927368164,142.10999755859376
2011-01-31,49.23943328857422,133.3800048828125
